ingredient,df_category,df_cat_sum,ingredient_sum,df_cat_percentage,df_cat_count
Aloe Polysaccharide,topical,0.06,0.06,100,1
alogliptin,oral,0.12,0.12,100,1
alosetron,oral,0.05,0.05,100,1
alpha 1-Antitrypsin,injection,0,0,NaN,1
alpha Tocopherol,oral,0.12,0.12,100,1
Alprazolam,oral,30.42,30.42,100,1
Alprostadil,Urethral Suppository,0.03,0.04,75,2
Alprostadil,injection,0.01,0.04,25,2
Alteplase,injection,0.43,0.43,100,1
aluminum chloride,topical,1.42,1.42,100,1
Aluminum Hydroxide,oral,0.31,0.31,100,1
Amantadine,oral,0.4,0.4,100,1
ambrisentan,oral,0.02,0.02,100,1
amcinonide,topical,0.02,0.02,100,1
Amikacin,injection,0,0,NaN,1
Amiloride,oral,0.19,0.19,100,1
Aminolevulinate,topical,0.03,0.03,100,1
Aminolevulinic Acid,topical,0.54,0.54,100,1
Aminophylline,injection,0.4,0.4,100,1
Amiodarone,oral,0.65,0.71,91.5492957746479,2
Amiodarone,injection,0.06,0.71,8.45070422535211,2
Amitriptyline,oral,7.79,7.79,100,2
Amitriptyline,topical,0,7.79,0,2
Amlodipine,oral,34.72,34.72,100,1
Amoxapine,oral,0,0,NaN,1
Amoxicillin,oral,180.26,180.26,100,1
Amphetamine,oral,21.46,21.46,100,1
Amphotericin B,injection,0.01,0.01,100,1
amphotericin B liposomal,injection,0.01,0.01,100,1
Ampicillin,oral,0.97,0.97,100,1
Amylases,oral,0.51,0.51,100,1
anagrelide,oral,0.02,0.02,100,1
anastrozole,oral,1.21,1.21,100,1
Anthralin,topical,0.01,0.02,50,2
Anthralin,Medicated Shampoo,0.01,0.02,50,2
Antipyrine,otic,4.99,4.99,100,1
apixaban,oral,0.36,0.36,100,1
apraclonidine,ophtalmic,0.02,0.02,100,1
apremilast,oral,0.07,0.07,100,1
aprepitant,oral,0.27,0.27,100,1
arformoterol,inhalant,0.04,0.04,100,1
aripiprazole,oral,4.36,4.37,99.7711670480549,2
aripiprazole,injection,0.01,4.37,0.22883295194508,2
armodafinil,oral,0.77,0.77,100,1
artemether,oral,0.01,0.01,100,1
Ascorbic Acid,oral,7.79,7.79,100,1
Asenapine,Sublingual Tablet,0.14,0.14,100,1
Aspirin,oral,3.05,3.05,100,1
Atazanavir,oral,0.15,0.15,100,1
Atenolol,oral,11.44,11.44,100,1
atomoxetine,oral,2.08,2.08,100,1
atorvastatin,oral,40.34,40.34,100,1
Atovaquone,oral,2.12,2.12,100,1
Atropine,oral,2.98,3.3,90.3030303030303,2
Atropine,ophtalmic,0.32,3.3,9.6969696969697,2
Auranofin,oral,0,0,NaN,1
Aurothiomalate,injection,0,0,NaN,1
avanafil,oral,0.21,0.21,100,1
axitinib,oral,0.01,0.01,100,1
Azathioprine,oral,0.93,0.93,100,1
azelastine,ophtalmic,1.09,1.09,100,1
Azelate,topical,1.79,1.82,98.3516483516484,2
Azelate,oral,0.03,1.82,1.64835164835165,2
azilsartan,oral,0.24,0.24,100,1
Azithromycin,oral,113.58,113.84,99.7716092761771,3
Azithromycin,ophtalmic,0.25,113.84,0.219606465214336,3
Azithromycin,Extended Release Suspension,0.01,113.84,0.00878425860857344,3
Aztreonam,inhalant,0.03,0.03,100,1
Bacitracin,ophtalmic,0.82,0.84,97.6190476190476,2
Bacitracin,topical,0.02,0.84,2.38095238095238,2
Baclofen,oral,3.53,3.54,99.7175141242938,2
Baclofen,topical,0.01,3.54,0.282485875706215,2
balsalazide,oral,0.21,0.21,100,1
bazedoxifene,oral,0.08,0.08,100,1
Becaplermin,topical,0.02,0.02,100,1
belatacept,injection,0.01,0.01,100,1
belimumab,injection,0.01,0.01,100,1
Belladonna Alkaloids,rectal,0.03,0.03,100,1
benazepril,oral,8.09,8.09,100,1
Bendroflumethiazide,oral,0.01,0.01,100,1
Benzoate,oral,0.04,0.04,100,1
Benzocaine,otic,4.99,4.99,100,1
benzonatate,oral,23.96,23.96,100,1
Benzoyl Peroxide,topical,10.03,10.14,98.9151873767258,3
Benzoyl Peroxide,Medicated Liquid Soap,0.09,10.14,0.887573964497041,3
Benzoyl Peroxide,Medicated Bar Soap,0.02,10.14,0.19723865877712,3
Benzphetamine,oral,0.01,0.01,100,1
Benztropine,oral,0.53,0.55,96.3636363636364,2
Benztropine,injection,0.02,0.55,3.63636363636364,2
Benzyl Alcohol,topical,0.09,0.09,100,1
bepotastine,ophtalmic,0.31,0.31,100,1
besifloxacin,ophtalmic,0.81,0.81,100,1
Beta Carotene,oral,0.1,0.1,100,1
Betaine,oral,0,0,NaN,1
Betamethasone,injection,15.06,28.1,53.5943060498221,6
Betamethasone,topical,11.54,28.1,41.067615658363,6
Betamethasone,Augmented Topical Cream,0.83,28.1,2.95373665480427,6
Betamethasone,Augmented Topical Ointment,0.43,28.1,1.53024911032028,6
Betamethasone,Augmented Topical Lotion,0.21,28.1,0.747330960854092,6
Betamethasone,Augmented Topical Gel,0.03,28.1,0.106761565836299,6
Betaxolol,ophtalmic,0.03,0.05,60,2
Betaxolol,oral,0.02,0.05,40,2
Bethanechol,oral,0.12,0.12,100,1
bevacizumab,injection,0,0,NaN,1
bexarotene,topical,0,0,NaN,2
bexarotene,oral,0,0,NaN,2
bicalutamide,oral,0.07,0.07,100,1
Bifidobacterium Infantis,oral,0,0,NaN,1
bimatoprost,ophtalmic,0.83,0.88,94.3181818181818,2
bimatoprost,topical,0.05,0.88,5.68181818181818,2
Biotin,oral,0.17,0.17,100,1
Bisacodyl,oral,0.41,0.41,100,2
Bisacodyl,rectal,0,0.41,0,2
bismuth subcitrate,oral,0.16,0.16,100,1
Bisoprolol,oral,2.2,2.2,100,1
boceprevir,oral,0,0,NaN,1
boric acid,topical,0,0,NaN,1
bosentan,oral,0.02,0.02,100,1
bosutinib,oral,0,0,NaN,1
brentuximab vedotin,injection,0.01,0.01,100,1
brimonidine,ophtalmic,1.38,1.89,73.015873015873,2
brimonidine,topical,0.51,1.89,26.984126984127,2
brinzolamide,ophtalmic,0.3,0.3,100,1
bromfenac,ophtalmic,0.67,0.67,100,1
Bromocriptine,oral,0.21,0.21,100,1
Brompheniramine,oral,7.44,7.83,95.0191570881226,2
Brompheniramine,injection,0.39,7.83,4.98084291187739,2
Budesonide,inhalant,3.18,3.78,84.1269841269841,2
Budesonide,oral,0.6,3.78,15.8730158730159,2
Bumetanide,oral,0.51,0.51,100,1
Bupivacaine,injection,0,0,NaN,1
Bupivacaine liposome,injection,0.45,0.45,100,1
Buprenorphine,Oral Strip,1.29,2.68,48.134328358209,4
Buprenorphine,Sublingual Tablet,0.8,2.68,29.8507462686567,4
Buprenorphine,transdermal,0.59,2.68,22.0149253731343,4
Buprenorphine,Buccal Film,0,2.68,0,4
Bupropion,oral,24.22,24.22,100,1
Buspirone,oral,5.48,5.48,100,1
butabarbital,oral,0,0,NaN,1
butalbital,oral,7.78,7.78,100,1
butenafine,topical,0.03,0.03,100,1
Butorphanol,nasal,0.1,0.1,100,1
C1 inhibitor (Human),injection,0,0,NaN,1
cabergoline,oral,0.43,0.43,100,1
cabozantinib,oral,0,0,NaN,1
cadexomer iodine,topical,0.01,0.01,100,1
Caffeine,oral,7.57,7.58,99.868073878628,3
Caffeine,injection,0.01,7.58,0.131926121372032,3
Caffeine,rectal,0,7.58,0,3
calcipotriene,topical,1.36,1.36,100,1
Calcitriol,oral,0.61,0.72,84.7222222222222,2
Calcitriol,topical,0.11,0.72,15.2777777777778,2
calcium acetate,oral,0.19,0.19,100,1
Calcium ascorbate,oral,0.16,0.16,100,1
Calcium Carbonate,oral,0.31,0.31,100,1
Calcium Citrate,oral,0.02,0.02,100,1
Calcium Glycerophosphate,injection,0,0,NaN,1
calcium lactate,injection,0,0,NaN,1
calcium threonate,oral,0.16,0.16,100,1
canagliflozin,oral,2.18,2.18,100,1
canakinumab,injection,0,0,NaN,1
candesartan,oral,0.45,0.45,100,1
capecitabine,oral,0.22,0.22,100,1
Capsaicin,transdermal,0.08,0.08,100,2
Capsaicin,topical,0,0.08,0,2
Captopril,oral,0.15,0.15,100,1
Carbamazepine,oral,1.42,1.42,100,1
carbamide peroxide,otic,0,0,NaN,1
Carbidopa,oral,0.58,0.58,100,1
carbinoxamine,oral,0.17,0.17,100,1
Carboplatin,injection,0,0,NaN,1
Carisoprodol,oral,3.77,3.77,100,1
Carteolol,ophtalmic,0.01,0.01,100,1
carvedilol,oral,7.32,7.32,100,1
Caspofungin,injection,0.01,0.01,100,1
Castor Oil,topical,0.03,0.03,100,1
Cefaclor,oral,0.12,0.12,100,1
Cefadroxil,oral,1.99,1.99,100,1
Cefazolin,injection,15.7,15.7,100,1
cefdinir,oral,25.27,25.27,100,1
cefditoren,oral,0.02,0.02,100,1
cefepime,injection,0,0,NaN,1
Cefixime,oral,1.62,1.62,100,1
Cefoxitin,injection,0,0,NaN,1
cefpodoxime,oral,0.29,0.29,100,1
cefprozil,oral,2.82,2.82,100,1
ceftibuten,oral,0.22,0.22,100,1
Ceftriaxone,injection,22.07,22.07,100,1
Cefuroxime,oral,8.91,8.91,100,1
celecoxib,oral,6.03,6.03,100,1
Cephalexin,oral,40.56,40.56,100,1
ceritinib,oral,0,0,NaN,1
certolizumab pegol,injection,0.01,0.01,100,1
Cetirizine,oral,2.26,2.26,100,1
cetrorelix,injection,0.03,0.03,100,1
cevimeline,oral,0.18,0.18,100,1
chlophedianol,oral,0,0,NaN,1
Chlorambucil,oral,0,0,NaN,1
chlorcyclizine,oral,0.01,0.01,100,1
Chlordiazepoxide,oral,1.04,1.04,100,1
Chlorhexidine,oral,11.91,11.91,100,2
Chlorhexidine,Medicated Liquid Soap,0,11.91,0,2
Chloroquine,oral,0.27,0.27,100,1
Chlorothiazide,oral,0.03,0.03,100,2
Chlorothiazide,injection,0,0.03,0,2
chloroxylenol,otic,0.04,0.04,100,1
Chlorpheniramine,Extended Release Suspension,6.45,7.08,91.1016949152542,2
Chlorpheniramine,oral,0.63,7.08,8.89830508474576,2
Chlorpromazine,oral,0.17,0.17,100,1
Chlorpropamide,oral,0,0,NaN,1
Chlorthalidone,oral,3.05,3.05,100,1
Chlorzoxazone,oral,0.58,0.58,100,1
Cholecalciferol,oral,1.73,1.73,100,1
Cholestyramine Resin,oral,0.97,0.97,100,1
Choline,oral,0,0,NaN,1
Chorionic Gonadotropin,injection,0.41,0.41,100,1
CHROMIUM PICOLINATE,oral,0,0,NaN,1
ciclopirox,topical,2,2.56,78.125,2
ciclopirox,Medicated Shampoo,0.56,2.56,21.875,2
cilostazol,oral,0.24,0.24,100,1
Cimetidine,oral,0.49,0.49,100,1
cinacalcet,oral,0.17,0.17,100,1
Cinnamon Bark,oral,0,0,NaN,1
Ciprofloxacin,oral,39.78,50.4,78.9285714285714,3
Ciprofloxacin,otic,6.88,50.4,13.6507936507937,3
Ciprofloxacin,ophtalmic,3.74,50.4,7.42063492063492,3
Citalopram,oral,19.6,19.6,100,1
Citric Acid,oral,1.55,1.55,100,1
Cladribine,injection,0,0,NaN,1
Clarithromycin,oral,7.97,7.97,100,1
Clavulanate,oral,66.62,66.62,100,2
Clavulanate,injection,0,66.62,0,2
Clemastine,oral,0.05,0.05,100,1
clidinium,oral,0.69,0.69,100,1
Clindamycin,oral,19.5,35.44,55.0225733634312,4
Clindamycin,topical,14.84,35.44,41.8735891647856,4
Clindamycin,vaginal,1.1,35.44,3.1038374717833,4
Clindamycin,injection,0,35.44,0,4
Clioquinol,topical,0.01,0.01,100,1
clobazam,oral,0.11,0.11,100,1
Clobetasol,topical,12.26,12.66,96.8404423380727,2
Clobetasol,Medicated Shampoo,0.4,12.66,3.15955766192733,2
clocortolone,topical,0.42,0.42,100,1
Clomiphene,oral,0.88,0.88,100,1
Clomipramine,oral,0.22,0.22,100,1
Clonazepam,oral,14.48,14.48,100,1
Clonidine,oral,4.73,5.09,92.9273084479371,2
Clonidine,transdermal,0.36,5.09,7.07269155206287,2
clopidogrel,oral,5.26,5.26,100,1
clorazepate,oral,0.39,0.39,100,1
Clotrimazole,topical,8.75,9.33,93.7834941050375,3
Clotrimazole,Oral Lozenge,0.58,9.33,6.21650589496249,3
Clotrimazole,vaginal,0,9.33,0,3
Clozapine,oral,0.09,0.09,100,1
Coal Tar,topical,0,0,NaN,1
cobicistat,oral,0.19,0.19,100,1
Codeine,oral,42.83,42.83,100,1
coenzyme Q10,oral,0,0,NaN,1
Colchicine,oral,2.89,2.89,100,1
colesevelam,oral,1.22,1.22,100,1
Colestipol,oral,0.39,0.41,95.1219512195122,2
Colestipol,Oral Granules,0.02,0.41,4.8780487804878,2
Colistin,otic,0.17,0.18,94.4444444444444,2
Colistin,injection,0.01,0.18,5.55555555555556,2
COLLAGENASE,topical,0.19,0.19,100,1
collagenase Clostridium histolyticum,injection,0.02,0.02,100,1
Copper Sulfate,oral,0.1,0.1,100,1
Corticotropin,injection,0.03,0.03,100,1
Cortisone,oral,0,0,NaN,1
Cosyntropin,injection,0.22,0.22,100,1
crizotinib,oral,0.01,0.01,100,1
crofelemer,oral,0,0,NaN,1
Cromolyn,ophtalmic,0.27,0.31,87.0967741935484,3
Cromolyn,oral,0.02,0.31,6.45161290322581,3
Cromolyn,inhalant,0.02,0.31,6.45161290322581,3
crotamiton,topical,0.03,0.03,100,1
Cupric oxide,oral,0.09,0.09,100,1
cuprous oxide,oral,0.23,0.23,100,1
cyclobenzaprine,oral,36.04,36.05,99.9722607489598,2
cyclobenzaprine,topical,0.01,36.05,0.0277392510402219,2
Cyclopentolate,ophtalmic,0.25,0.25,100,1
Cyclophosphamide,oral,0.05,0.05,100,2
Cyclophosphamide,injection,0,0.05,0,2
Cyclosporine,ophtalmic,3.11,3.43,90.6705539358601,2
Cyclosporine,oral,0.32,3.43,9.32944606413994,2
Cyproheptadine,oral,1.11,1.11,100,1
Cytarabine,injection,0.03,0.03,100,1
D-BIOTIN,oral,0,0,NaN,1
dabigatran etexilate,oral,0.39,0.39,100,1
dabrafenib,oral,0.01,0.01,100,1
Dactinomycin,injection,0,0,NaN,1
dalfampridine,oral,0.1,0.1,100,1
Danazol,oral,0.02,0.02,100,1
Dantrolene,oral,0.02,0.02,100,1
dapagliflozin,oral,0.78,0.78,100,1
Dapsone,topical,2.63,2.79,94.2652329749104,2
Dapsone,oral,0.16,2.79,5.73476702508961,2
Daptomycin,injection,0,0,NaN,1
darifenacin,oral,0.16,0.16,100,1
darunavir,oral,0.18,0.18,100,1
dasatinib,oral,0.04,0.04,100,1
deferasirox,oral,0.02,0.02,100,1
Demeclocycline,oral,0.01,0.01,100,1
denosumab,injection,0,0,NaN,1
Desipramine,oral,0.17,0.17,100,1
desloratadine,oral,1.1,1.1,100,1
desmopressin,oral,0.67,0.78,85.8974358974359,4
desmopressin,nasal,0.11,0.78,14.1025641025641,4
desmopressin,Nasal Solution,0,0.78,0,4
desmopressin,injection,0,0.78,0,4
Desogestrel,oral,5.85,5.85,100,1
Desonide,topical,4.82,4.82,100,1
Desoximetasone,topical,2.09,2.09,100,1
Desvenlafaxine,oral,2.29,2.29,100,1
Dexamethasone,ophtalmic,50.69,62.23,81.4558894423911,5
Dexamethasone,otic,6.43,62.23,10.3326369918046,5
Dexamethasone,oral,4.93,62.23,7.92222400771332,5
Dexamethasone,injection,0.15,62.23,0.241041298409127,5
Dexamethasone,topical,0.03,62.23,0.0482082596818255,5
dexbrompheniramine,oral,0.02,0.02,100,1
dexchlorpheniramine,oral,0.02,0.02,100,1
dexlansoprazole,oral,2.64,2.64,100,1
dexmethylphenidate,oral,3.84,3.84,100,1
dexpanthenol,injection,0,0,NaN,1
Dextroamphetamine,oral,22.07,22.07,100,1
Dextromethorphan,oral,13.67,13.68,99.9269005847953,2
Dextromethorphan,Extended Release Suspension,0.01,13.68,0.0730994152046784,2
Diazepam,oral,13.69,13.69,100,1
Diazoxide,oral,0,0,NaN,1
dichloralphenazone,oral,0.44,0.44,100,1
Diclofenac,oral,12.39,17.8,69.6067415730337,4
Diclofenac,topical,4.75,17.8,26.685393258427,4
Diclofenac,transdermal,0.44,17.8,2.47191011235955,4
Diclofenac,ophtalmic,0.22,17.8,1.23595505617978,4
Dicloxacillin,oral,0.8,0.8,100,1
Dicyclomine,oral,5.85,5.85,100,1
Didanosine,oral,0.01,0.01,100,1
dienogest,oral,0.37,0.37,100,1
Diethylpropion,oral,0.06,0.06,100,1
Diflorasone,topical,0.2,0.2,100,1
Diflunisal,oral,0.28,0.28,100,1
difluprednate,ophtalmic,1.08,1.08,100,1
Digoxin,oral,1.23,1.23,100,1
dihydrocodeine,oral,0.01,0.01,100,1
Dihydroergotamine,injection,0.13,0.23,56.5217391304348,2
Dihydroergotamine,nasal,0.1,0.23,43.4782608695652,2
Diltiazem,oral,4.72,4.72,100,1
Dimenhydrinate,injection,0.06,0.06,100,1
dimethicone,topical,0.02,0.02,100,1
dimethyl fumarate,oral,0.44,0.44,100,1
Dimethyl Sulfoxide,Irrigation Solution,0,0,NaN,1
Diphenhydramine,injection,8.7,9.78,88.9570552147239,3
Diphenhydramine,oral,1.08,9.78,11.0429447852761,3
Diphenhydramine,topical,0,9.78,0,3
Diphenoxylate,oral,2.66,2.66,100,1
"diphtheria toxoid vaccine, inactivated",injection,0.39,0.39,100,1
Dipyridamole,oral,0.18,0.18,100,1
Disopyramide,oral,0.02,0.02,100,1
Disulfiram,oral,0.18,0.18,100,1
docetaxel,injection,0,0,NaN,1
doconexent,oral,0.01,0.01,100,1
Docosahexaenoate,oral,0.05,0.05,100,1
Docusate,oral,0.65,0.65,100,1
dofetilide,oral,0.11,0.11,100,1
dolutegravir,oral,0.11,0.11,100,1
donepezil,oral,0.3,0.3,100,1
Dornase Alfa,inhalant,0.08,0.08,100,1
dorzolamide,ophtalmic,0.85,0.85,100,1
Doxazosin,oral,1.29,1.29,100,1
Doxepin,oral,1.38,1.41,97.8723404255319,2
Doxepin,topical,0.03,1.41,2.12765957446809,2
Doxercalciferol,injection,0.23,0.24,95.8333333333333,2
Doxercalciferol,oral,0.01,0.24,4.16666666666667,2
Doxorubicin,injection,0,0,NaN,1
doxorubicin liposome,injection,0,0,NaN,1
Doxycycline,oral,32.53,32.53,100,2
Doxycycline,injection,0,32.53,0,2
Doxylamine,oral,0.41,0.41,100,1
dronedarone,oral,0.19,0.19,100,1
Droperidol,injection,0.04,0.04,100,1
drospirenone,oral,6.95,6.95,100,1
duloxetine,oral,12.91,12.91,100,1
Dutasteride,oral,0.65,0.65,100,1
Echothiophate,ophtalmic,0,0,NaN,1
Econazole,topical,2.3,2.3,100,1
efavirenz,oral,0.52,0.52,100,1
efinaconazole,topical,0.35,0.35,100,1
Eflornithine,topical,0.03,0.03,100,1
EGG YOLK PHOSPHOLIPIDS,injection,0,0,NaN,1
Eicosapentaenoate,oral,0.02,0.02,100,1
eletriptan,oral,1.27,1.27,100,1
eltrombopag,oral,0.01,0.01,100,1
elvitegravir,oral,0.19,0.19,100,1
empagliflozin,oral,0.15,0.15,100,1
emtricitabine,oral,1.36,1.36,100,1
Enalapril,oral,3.13,3.13,100,1
Endopeptidases,oral,0.51,0.51,100,1
enfuvirtide,injection,0,0,NaN,1
Enoxaparin,injection,0.01,0.01,100,1
entacapone,oral,0.06,0.06,100,1
entecavir,oral,0.15,0.15,100,1
enzalutamide,oral,0.01,0.01,100,1
epinastine,ophtalmic,0.34,0.34,100,1
Epinephrine,injection,2.61,2.61,100,1
eplerenone,oral,0.16,0.16,100,1
Epoetin Alfa,injection,0.04,0.04,100,1
eprosartan,oral,0.02,0.02,100,1
Ergocalciferol,oral,17.32,17.32,100,1
"ergoloid mesylates, USP",oral,0,0,NaN,1
Ergonovine,injection,0,0,NaN,1
Ergotamine,rectal,0,0,NaN,2
Ergotamine,oral,0,0,NaN,2
erlotinib,oral,0.03,0.03,100,1
ertapenem,injection,0.01,0.01,100,1
Erwinia asparaginase,injection,0,0,NaN,1
Erythromycin,ophtalmic,4.52,7.31,61.8331053351573,3
Erythromycin,topical,1.48,7.31,20.2462380300958,3
Erythromycin,oral,1.31,7.31,17.9206566347469,3
Escitalopram,oral,22.09,22.09,100,1
eslicarbazepine,oral,0.01,0.01,100,1
Esomeprazole,oral,10.28,10.28,100,1
Estazolam,oral,0.06,0.06,100,1
Estradiol,oral,7.82,19.92,39.2570281124498,5
Estradiol,vaginal,5.6,19.92,28.1124497991968,5
Estradiol,transdermal,5.46,19.92,27.4096385542169,5
Estradiol,topical,0.69,19.92,3.46385542168675,5
Estradiol,injection,0.35,19.92,1.7570281124498,5
"Estrogens, Conjugated (USP)",oral,4.3,6.63,64.8567119155354,3
"Estrogens, Conjugated (USP)",vaginal,2.33,6.63,35.1432880844646,3
"Estrogens, Conjugated (USP)",injection,0,6.63,0,3
"Estrogens, Esterified (USP)",oral,0.94,0.94,100,1
estropipate,oral,0.16,0.16,100,1
Eszopiclone,oral,3.26,3.26,100,1
Etanercept,injection,0.07,0.07,100,1
Ethacrynate,oral,0.02,0.02,100,1
Ethambutol,oral,0.04,0.04,100,1
Ethinyl Estradiol,oral,103.97,109.86,94.6386309848899,3
Ethinyl Estradiol,vaginal,4.64,109.86,4.22355725468778,3
Ethinyl Estradiol,transdermal,1.25,109.86,1.13781176042236,3
Ethosuximide,oral,0.1,0.1,100,1
Ethyl Chloride,topical,0.02,0.02,100,1
ethynodiol,oral,0.7,0.7,100,1
Etodolac,oral,3.11,3.11,100,1
Etonogestrel,vaginal,4.64,4.73,98.0972515856237,2
Etonogestrel,Drug Implant,0.09,4.73,1.90274841437632,2
Etoposide,injection,0.11,0.12,91.6666666666667,2
Etoposide,oral,0.01,0.12,8.33333333333333,2
etravirine,oral,0.05,0.05,100,1
everolimus,oral,0.06,0.06,100,1
exemestane,oral,0.25,0.25,100,1
exenatide,injection,0.79,0.79,100,1
ezetimibe,oral,4.52,4.52,100,1
ezogabine,oral,0,0,NaN,1
factor IX,injection,0,0,NaN,1
Factor VIII,injection,0.05,0.05,100,1
famciclovir,oral,1.3,1.3,100,1
Famotidine,oral,3.91,3.91,100,2
Famotidine,injection,0,3.91,0,2
febuxostat,oral,0.61,0.61,100,1
felbamate,oral,0.02,0.02,100,1
Felodipine,oral,0.42,0.42,100,1
Fenofibrate,oral,9.87,9.87,100,1
Fenoprofen,oral,0.04,0.04,100,1
Fentanyl,transdermal,1.8,1.85,97.2972972972973,5
Fentanyl,Mucosal Spray,0.03,1.85,1.62162162162162,5
Fentanyl,oral,0.01,1.85,0.54054054054054,5
Fentanyl,Oral Lozenge,0.01,1.85,0.54054054054054,5
Fentanyl,injection,0,1.85,0,5
ferric carboxymaltose,injection,0,0,NaN,1
"ferric oxide, saccharated",injection,0.01,0.01,100,1
Ferrous Asparto Glycinate,oral,0.16,0.16,100,1
ferrous bisglycinate,oral,0.04,0.04,100,1
Ferrous fumarate,oral,16.36,16.36,100,1
ferrous gluconate,oral,0.01,0.01,100,1
ferrous sulfate,oral,0.17,0.17,100,1
ferumoxytol,injection,0,0,NaN,1
fesoterodine,oral,0.32,0.32,100,1
fexofenadine,oral,0.43,0.43,100,1
fidaxomicin,oral,0.03,0.03,100,1
Filgrastim,injection,0.02,0.02,100,1
Finasteride,oral,2.04,2.04,100,1
fingolimod,oral,0.14,0.14,100,1
Flavoxate,oral,0.05,0.05,100,1
Flecainide,oral,0.69,0.69,100,1
Fluconazole,oral,33.95,33.99,99.8823183289203,2
Fluconazole,injection,0.04,33.99,0.117681671079729,2
Fludrocortisone,oral,0.43,0.43,100,1
Flumazenil,injection,0,0,NaN,1
fluocinolone,Topical Oil,1.12,2.45,45.7142857142857,3
fluocinolone,topical,0.83,2.45,33.8775510204082,3
fluocinolone,otic,0.5,2.45,20.4081632653061,3
Fluocinonide,topical,5.34,5.34,100,1
Fluorometholone,ophtalmic,1.01,1.01,100,1
Fluorouracil,topical,1.45,1.45,100,2
Fluorouracil,injection,0,1.45,0,2
Fluoxetine,oral,19.44,19.44,100,1
Fluoxymesterone,oral,0,0,NaN,1
Fluphenazine,oral,0.04,0.05,80,2
Fluphenazine,injection,0.01,0.05,20,2
Flurandrenolide,topical,0.28,0.44,63.6363636363636,2
Flurandrenolide,Medicated Tape,0.16,0.44,36.3636363636364,2
Flurazepam,oral,0.1,0.1,100,1
Flurbiprofen,oral,0.17,0.2,85,2
Flurbiprofen,ophtalmic,0.03,0.2,15,2
Flutamide,oral,0.01,0.01,100,1
fluticasone,topical,1.25,1.25,100,1
fluvastatin,oral,0.11,0.11,100,1
Fluvoxamine,oral,0.68,0.68,100,1
Folic Acid,oral,8.26,8.26,100,2
Folic Acid,injection,0,8.26,0,2
Follicle Stimulating Hormone,injection,0.28,0.28,100,1
Follitropin Alfa,injection,0.03,0.03,100,1
follitropin beta,injection,0,0,NaN,1
Formaldehyde,topical,0.04,0.04,100,1
formic acid,oral,0.04,0.04,100,1
formoterol,inhalant,0.1,0.1,100,1
fosamprenavir,oral,0.02,0.02,100,1
Fosaprepitant dimeglumine,injection,0,0,NaN,1
Fosfomycin,oral,0.05,0.05,100,1
Fosinopril,oral,0.44,0.44,100,1
frovatriptan,oral,0.25,0.25,100,1
Furosemide,oral,9.32,10.15,91.8226600985222,2
Furosemide,injection,0.83,10.15,8.17733990147783,2
gabapentin,oral,20.76,20.76,100,1
Gadopentetate Dimeglumine,injection,3.22,3.22,100,1
Galantamine,oral,0.01,0.01,100,1
Ganciclovir,ophtalmic,0.14,0.14,100,1
gatifloxacin,ophtalmic,0.8,0.8,100,1
gemcitabine,injection,0,0,NaN,1
Gemfibrozil,oral,1.95,1.95,100,1
gemifloxacin,oral,0.02,0.02,100,1
Gentamicin Sulfate (USP),ophtalmic,3.26,3.7,88.1081081081081,3
Gentamicin Sulfate (USP),topical,0.41,3.7,11.0810810810811,3
